Sequence,Interface ID,Internal Cycle Type,Internal Cycle Detail,Internal  Delivery Time,Internal Delivery Time Detail,External Cycle Type,External Cycle Day,External Batch Start Time,External Batch End Time,External Delivery Time Detail,Hard Dependency Description
43,2105,Montlhy,"Twice monthly, Payroll Calendar",TBD,Day 5,Nightly,OnDemand,AdHoc,AdHoc,,2010
44,2105 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2105
34,2011,Daily,Everyday,7:15am,,N/A,N/A,N/A,N/A,,N/A
36,2011 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2012
39,2023,Montlhy,"Twice monthly, Payroll Calendar",TBD,Day 4,Payroll,Day 4,2:00am,2:00pm,"Day 4, every 30 minutes for 12 hours",2011
40,2023 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2023
45,2027,Montlhy,"Twice monthly, Payroll Calendar",TBD,Day 5,Nightly,OnDemand,AdHoc,AdHoc,,"2010, 2105"
93,2027 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2027
89,2092 IDL DT,N/A,Requires Workday,Requires Workday,Requires Workday,Requires Workday,Requires Workday,Requires Workday,Requires Workday,,2092
92,2115 IDL DT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2115
